Copying expression	middle place	"Agriculture" in Indonesia is in the middle place and the last one is under "industry" control.
Word form transmission	government's	"Mother should take care of her own child at first", by this quote we simply can see that problems of government's own country should be placed on the first position.
Tense semantics	have	"Samsung", "Blackberry" and "HTC" in 2015 have almost the same percentage share.
Tense semantics	have	(5,9%) Overall, almost all unemployment rates have remained on the same level between 2014 and 2015, except EU, Latin America and Middle East.
Synonyms	destination	(the destination between Moscow and Saint Petersburg, for instance, can be easily overcame by "Lastochka" train for 5 hours).
Synonyms	overcame	(the destination between Moscow and Saint Petersburg, for instance, can be easily overcame by "Lastochka" train for 5 hours).
Synonyms	on	There is an extremely clear difference: there are too many men on a tech subjects.
Tense semantics	are	15% consist of things which are transported by rail in Eastern Europe in 2008.
Tense semantics	consist	12% consist of those which were transported by rail in Eastern Europe in 2008.
Copying expression	15-59 years	15-59 years people in Yemen are increasing, while in Italy this number decreases.
Synonyms	busy	16% of roads are busy by chemicals.
Synonyms	leveled	1n 1995 the obesity rate leveled 16 per cent and was equal for both girls and boys.
Copying expression	2013 year	2013 year is a key one.
Copying expression	60+ years	3,6% are people have age 60+ years.
Synonyms	decrease	3) Latin America is having a big increase in GDP., reaching new peast and creating working seats they decrease the unemployment.
Synonyms	seats	Latin America creates working seats, they decrease the unemployment.
Copying expression	comes to 	30 percent of the chart takes yong people and 25 percent comes to 26-40 years old students.
Synonyms	takes	30 percent of the chart takes yong people and 26 percent comes to 26-40 years old students.
Copying expression	60+ year	60+ year people accounted for 24,1% in 2000, and it is expected to increase by 42,3%.
Copying expression	60+ years	60+ years.
Synonyms	aim	A aim every 2 games seems decent!
Synonyms	precious	A am not a fan of precious elements like a portico of fountaines in the luxiry gardes, but in my mind buildings should look like an attractive element of the city.
Copying expression	every of us	A big bath was prepared for every of us .
Synonyms	amount	A bigger amount of police also can help country to reduce more crime.
Copying expression	15-59 years	A bit feuer than a half of the Yemen population in 2000 were 15-59 years people, but in Italy were about 61,6% of them.
Synonyms	at	A blended whisky combines many malt and grain whiskies at different ages .
Word form transmission	building's	A building's style may say a lot about its history.
Synonyms	aims	A certain organization is never without aims .
Synonyms	specialisation	A closer look at the data shows, that it is art course that has approximately equal parts of all age groups, while other courses have more specialisation in the age of listeners.
Tense semantics	consist	A closer look on data shows that in the Northern Africa level of unemployment remained stable and consist 12,5%.
Synonyms	on	A closer look on data shows that in the Southern Africa level of unemployment remained stable and consist 12,5%.
Synonyms	on	A closer look on the chart shows that machinery dropped by 2%.
Synonyms	achieved	A decrease in Africa consists in 7 millions, what is less then in South Asia, where the amount of children without education cut in 3 times and achieved only 10 millions.
Synonyms	view	A detailed view on the graph reveals that the percentage of people over 65 fluctuated in both USA and Sweden during the passed pert of the time period.
Synonyms	aims	A further three players scored four aims .
Synonyms	on	A good case of it is a typical situation on the factory when every worker want to have a salary because he or she every day go to the factory and do their work.
Copying expression	2008 year	A good example is a "Metro Golden Mayer" which loss more than 3,5 billions dollars from 2008 year.
